# .github/auth-register.tsv — one canonical authentication method per cell,
# and every second method that is allowed to exist alongside it.
#
# Rows are written BY HAND. Recompute fingerprints and line numbers with:
#   scripts/auth-register.sh --refresh
# The rule, the four conditions a justification must meet, the anchor forms
# and what the gate fails on: scripts/auth-register.sh
#
# kind:   canonical | exception
# status: true-now | unverified | decision
# revisit: a CHECKABLE FACT. A date is never a trigger, and the gate says so.
# anchor: go:<path>#<Symbol> | text:<path>#<literal> | none: (needs a cite)
#
# 'line' is navigation only and is refreshed each run; it is NOT part of the
# fingerprint, so edits above a row do not churn this file. Editing the
# ANCHORED declaration does change the fingerprint, and the gate then fails
# until someone re-reads the row against the code that changed.
#
# This file is PUBLIC. A row describing a fail-open that is unfixed and
# reachable does not belong here; it lives in a private geekdojo-brain issue
# and moves here in the pull request that fixes it.
fingerprint	id	kind	cell	method	exception	constraint	status	revisit	anchor	cite	line
9368bafe5fc7522d	C11	canonical	human trust in the mesh CA, out of band	Trust on first use, for every device. There is no fingerprint comparison surface.			decision		none:	geekdojo/geekdojo-brain#563	
f4aced2260dd62a9	C12	canonical	anti-rollback, artifact	One version-admission gate for the OS, the firewall and the catalog. No downgrade override.			decision		none:	geekdojo/geekdojo-brain#577	
45ad8aeae150dfbc	C13	canonical	update bundle trust, artifact	One verifier resolved from the trust root, with no permissive mode to select. Construction never returns an error, so there is no error path a caller can mishandle back into permissiveness: an absent, unreadable or unparseable root yields an unavailable verifier that refuses every artifact and carries the reason.			true-now		go:api/internal/updater/verifier.go#NewVerifier		96
b67f27b48d16998d	C14	canonical	external device server auth, HTTPS	One pinned-TLS helper, with one typed pin: the SHA-256 of the DER SubjectPublicKeyInfo, in the same encoding as the bus pin. Verification runs in VerifyConnection, so it also runs on a resumed connection. There is no unpinned mode and no http endpoint.			true-now		go:agent/internal/bmc/pinnedtls.go#pinnedTLSConfig	geekdojo/geekdojo-brain#473	59
94fd4e6d8bbb557e	E1	exception	restore, HTTPS	One custody check, gated by an authenticated session.	Phase 1 of restore runs with no session.	Before a restore there is no user row, so there is nobody to authenticate. The first-run predicate is the only gate that exists at that point.	true-now	A surface exists that can authenticate the operator before any user row exists.	go:api/internal/api/restore_handlers.go#Server.firstRunOpen		89
e64f2054039e919b	E10	exception	device to mesh admission, HTTPS	One mint function.	Two profiles, one for a node and one for a user device.	A node key is single-use, carries the node tag and is expired when the enrol step ends. A user key carries the user-device tag, refuses node tags, is capped and is shown once. The two differ in every field that decides authority.	true-now	Node and user devices are admitted with the same tag set and the same lifecycle.	go:api/internal/mesh/preauth.go#UserDeviceKeyMaxExpiry		61
f2cbed4e8416a8f4	E11	exception	control plane key material, local	One key per trust root.	The control plane holds two, the bus key and the mesh CA.	They root different things and are presented to different verifiers. Merging them would make one compromise reach both the bus and every browser that trusts the mesh CA.	true-now	The bus and the mesh are verified against one trust root.	go:api/internal/mesh/tls.go#meshCALifetime		47
2187a64c45432856	E13	exception	node to control plane, client auth, NATS	A credential ends when a fact ends it, and revoke forces the disconnect.	The minted connection credential also lapses after 24 hours.	The lapse covers a missed forced disconnect. On reconnect the client re-presents its token and the registry is read again, so the bound is a safety net that re-checks a fact rather than a clock that decides one.	true-now	Revoke confirms every session drop, so a missed disconnect becomes a detectable fact.	go:api/internal/busauth/callout.go#mintedTTL		33
b7fbf415a0c931f3	E14	exception	agent to control plane, backup transfer, HTTPS	The transfer grant is valid while the operation is open.	The grant also carries a lifetime.	The lifetime is derived from the operation's own work budget plus slack, and covers an operation that ends without closing its grant.	true-now	An operation that ends always emits the fact that closes its grant.	go:backupxfer/token.go#CredentialTTL		62
36f85d48684f0a9b	E15	exception	device to mesh admission, node profile	The node key is expired explicitly when the enrol step ends, on success or failure.	The key also carries a 10-minute expiry.	It covers an api that stops mid-step, when nothing is left running to issue the explicit expiry.	true-now	The enrol step's end is durable across an api restart.	go:api/internal/mesh/preauth.go#nodeEnrolKeyExpiry		67
f8a7edf41448e3ee	E16	exception	third-party verification of our leaves, TLS	A credential is ended by a fact.	Application and server leaves are bounded only by their expiry.	Browsers and the tailnet client verify these leaves, and Rasputin publishes no revocation list, so expiry is the only bound those verifiers can apply. A copy taken off the node stays valid to them until then.	true-now	Rasputin publishes a revocation list those verifiers consult.	go:api/internal/mesh/tls.go#renewWindow		54
d19fa86a9583acc6	E18	exception	join token mint, out of band	One mint path.	The seed is minted two ways: offline for a matched set, or online through the add-node flow under a session.	The offline path has to work with no control plane reachable at all. The online path has to bind a node id the operator chose in the interface.	true-now	One path can mint a seed both offline and under a session.	go:api/internal/busauth/tokens.go#Store.MintBound		228
80e2247f590749d9	E2	exception	archive key wrap, local	One custody key-derivation resolver.	Two derivations: a memory-hard one for a human passphrase, a fast one for a generated recovery code.	The cost parameter follows the secret's entropy. A full-entropy generated code gains nothing from a memory-hard derivation, and a human-chosen passphrase needs one.	true-now	The recovery code and the passphrase carry the same entropy.	none:	geekdojo/geekdojo-brain#454	
00dd8d716287f3d9	E20	exception	mesh admin, local	One admin channel.	A container exec to the local socket is kept, used only to mint a short-lived REST key at each api start.	The mesh server has no way to issue the first REST key over REST.	true-now	The mesh server can issue an initial API key without local socket access.	none:	geekdojo/geekdojo-brain#454	
4722291eba25df57	E21	exception	platform sidecar to host, unix socket	A client is given a scoped credential for the service it talks to.	The container socket is mounted into the collector sidecar.	The collector's container discovery has no scoped equivalent in the daemon's API.	true-now	The collector can discover containers with a scoped credential.	none:	geekdojo/geekdojo-brain#454	
a36ebb227644fd9a	E24	exception	node configuration apply, local	One apply sink and one key path.	The OS and the firewall differ in both.	The firewall's root filesystem is a read-only squashfs and its configuration sink is UCI and procd, not an env file and systemd. Neither difference is a choice.	true-now	The firewall image carries a writable root filesystem and a systemd sink.	none:	geekdojo/geekdojo-brain#454	
c1b7407f34ea56e2	E26	exception	OS bundle signature, artifact	A detached CMS signature.	The A/B update bundle carries its signature inside the bundle.	The bundle format embeds the signature and the updater verifies it with its own keyring before we see the payload.	true-now	The bundle format accepts a detached signature.	none:	geekdojo/geekdojo-brain#454	
df02dedf0737a109	E27	exception	CI signing, credential	One signing credential.	There are two, one for releases and one for the catalog.	Separating them is what makes the purpose OIDs enforceable: a catalog leaf cannot sign a release and a release leaf cannot sign a catalog.	true-now	One credential can carry both purposes without either being able to sign the other's artifacts.	go:artifactsig/eku.go#OIDCodeSigningCatalog		62
ca7758ae88255a92	E28	exception	release selection, HTTPS	Every field of a release selection comes from the verified manifest.	The channel comes from an unsigned flag.	The prerelease flag is a property of the hosting platform's release object, not of the signed manifest. A signed channel value may only narrow it.	true-now	The manifest carries a signed channel value.	none:	geekdojo/geekdojo-brain#454	
036a84cf0556782e	E3	exception	browser to api, session, cookie	A session ended by facts: logout, sign-out-others, deleting the passkey.	A 7-day absolute lifetime also ends it.	A lost or retired laptop produces no fact the api can observe, so no checkable fact is available to end that session. This is the one credential bound here with nothing behind it.	true-now	A signed-in device emits a fact the api can observe when it is lost or retired.	go:api/internal/auth/service.go#sessionLifetime		92
8e4e49b8d3806fb3	E30	exception	first-flash integrity, laptop	One verifier implementation.	The laptop side is a shell check rather than the Go verifier.	No Rasputin binary exists on the laptop at first flash. The laptop has openssl and nothing else we ship.	true-now	A signed verifier binary is distributed with the flasher.	none:	geekdojo/geekdojo-brain#454	
8f4459902fffe775	E32	exception	package feeds, HTTPS	One publisher trust root.	The firewall image keeps the upstream distribution's feed signing keys.	Conditional, and only while the package manager is kept. Rasputin never installs a package at runtime; only an operator does.	true-now	The firewall image ships without a package manager.	none:	geekdojo/geekdojo-brain#454	
99dee13644c12696	E34	exception	clock, NTP	Every input to a trust decision is authenticated.	Time is taken from unauthenticated NTP.	No authenticated time source is available to an appliance on an arbitrary LAN with no operator configuration. What is narrowed instead is how much depends on the clock.	true-now	An authenticated time source is available with no operator configuration.	go:api/cmd/rasputin-api/main.go#clockGateTimeout		1840
6664892c10dffc4b	E35	exception	seed, physical	A credential is authorized by a checkable fact.	The seed's authority is physical possession of the medium it arrives on.	Nothing exists on a node before the seed that could authenticate it, so possession is the only fact available at that point.	true-now	A node can authenticate a seed before it holds any credential.	none:	geekdojo/geekdojo-brain#454	
6552d559b20cfe48	E36	exception	secrets at rest, filesystem	One helper decides the mode of every file a process writes.	The api and the agent each carry their own copy of that helper.	The api's package is internal to a different Go module, so the agent binary cannot import it at all. The copy keeps the same semantics for every name both packages share and carries only what the agent uses.	true-now	The helper lives in a module both binaries already import.	go:agent/internal/atrest/atrest.go#WriteSecretFile		53
7c768ccb45e5ae9a	E37	exception	release selection, HTTPS	Every field of a release selection comes from a manifest this api verified against the trust root for the release purpose.	A release below its component's version floor is resolved WITHOUT reading its signature, so its version, asset names and checksums are taken on HTTPS alone.	Releases published before the release purpose OID existed are signed by a leaf that carries no extendedKeyUsage at all, which the verifier refuses by construction. Measured, not assumed: rasputin-os 2026.08.3 and earlier are signed by `Rasputin Release Leaf 001` (no EKU); 2026.08.4 onward by `Rasputin Bundle Signing leaf-003`, which carries the release OID. Requiring verification below the floor would leave a cluster still running one of those releases unable to resolve the flashable image for its OWN version, so it could not add a node at all -- turning a stale-version problem into an onboarding outage. The narrowest difference this forces is per component and per version: at or above the floor a signature is REQUIRED and a missing one is a hard failure, so the exception cannot be used to downgrade a signed release by deleting its .sig.	true-now	No supported release predates its component's floor.	go:api/internal/releases/manifestsig.go#SignedManifestRequired	geekdojo/geekdojo-brain#527, geekdojo/geekdojo-brain#526	97
fd52a8f2a2d058a0	E4	exception	human trust in the mesh CA, out of band	A trust anchor is verified against a surface the person already trusts.	No device verifies the mesh CA out of band; every device takes it on first use.	Recorded decision. A fingerprint comparison surface was considered and not taken, because it adds a step to every device for a value the operator cannot check independently.	decision	The provisioning tool mints the mesh CA for a matched set and the preseed carries a first-run claim code.	none:	geekdojo/geekdojo-brain#563	
30c96d9f6fa78c62	E5	exception	browser to api, pending ceremony, memory	The pending ceremony is consumed when the ceremony finishes.	A 5-minute bound also ends it.	An abandoned ceremony produces no fact the api could observe. The bound frees the memory and ends a stale ceremony's authority; it is a safety net, not a state transition.	true-now	An abandoned ceremony emits a fact the api can observe.	go:api/internal/auth/service.go#pendingLifetime		98
1cea573848d3c225	E6	exception	node to control plane, client auth	One credential authenticates the node to the control plane.	NATS authenticates with the join token; HTTPS authenticates with a separately registered key.	Recorded decisions: mutual TLS was put out of scope on the bus, and a persisted signing key for node identity was superseded. The HTTPS side must not carry the long-lived join token as a bearer.	decision	Every known cluster reports the enforced bus mode, at which point the callout can accept the registered key and NATS keeps the token only for first registration.	none:	geekdojo/geekdojo-brain#454	
258540386d4325cb	E8	exception	collector to api, server auth, HTTPS	The collector trusts the api's bus certificate by exact bytes.	The collector trusts the mesh chain instead.	Conditional. It applies only if the collector cannot be given an exact-bytes trust anchor and a self-signed client certificate.	unverified	The probe runs the pinned collector image against an exact-bytes anchor. If it is accepted, this row is deleted.	none:	geekdojo/geekdojo-brain#589	
8d2e7a4107005976	E9	exception	node process to mesh, server trust, HTTPS	A process is given its trust root through its own configuration.	The tailnet client is given the mesh CA through an environment variable.	That variable is the only hook the client's runtime offers for a per-process trust root; it exposes no configuration option for one.	true-now	The tailnet client exposes a configuration option for its trust root.	go:agent/internal/tailscale/trust.go#CABundlePath		45
